FECHA DE APERTURA,DIA DE APERTURA,FISICA,VERBAL,ECONOMICA,PSICOLOGICA,SEXUAL,GENERO M/F VICTIMA,EDAD_VICTIMA_NUM,GENERO AGRESOR M/F,EDAD_AGRESOR_NUM,PARENTESCO FRENTE A LA VICTIMA,COMUNA DE LA VICTIMA,TOTAL_ABUSE_TYPES,IS_INTRAFAMILIAL,IS_MULTIDIMENSIONAL,HAS_PSYCHOLOGICAL,SEVERITY_LEVEL
2022-06-09T00:00:00.000,jueves,si,si,no,si,no,femenino,2.0,femenino,28.0,madre,comuna1,3,True,True,True,High
2022-06-09T00:00:00.000,jueves,si,si,no,si,no,femenino,4.0,femenino,28.0,madre,comuna1,3,True,True,True,High
2022-06-09T00:00:00.000,jueves,si,si,no,si,no,femenino,15.0,femenino,0.0,madre,comuna1,3,True,True,True,High
2022-06-09T00:00:00.000,jueves,si,si,no,si,no,femenino,1.0,femenino,22.0,madre,comuna1,3,True,True,True,High
2022-06-08T00:00:00.000,miercoles,si,si,no,si,no,masculino,3.0,femenino,23.0,madre,comuna1,3,True,True,True,High
2022-06-23T00:00:00.000,jueves,si,si,no,si,no,masculino,4.0,masculino,,padrastro,comuna1,3,False,True,True,High
2022-06-29T00:00:00.000,miercoles,si,si,no,si,no,masculino,15.0,femenino,0.0,padre,comuna2,3,True,True,True,High
2022-06-28T00:00:00.000,martes,si,si,no,si,no,femenino,2.0,masculino,24.0,padre,comuna11,3,True,True,True,High
2022-06-28T00:00:00.000,martes,si,si,no,si,no,femenino,5.0,femenino,,madre,comuna6,3,True,True,True,High
2022-06-28T00:00:00.000,martes,si,si,no,si,no,masculino,9.0,femenino,,madre,comuna6,3,True,True,True,High
2022-06-11T00:00:00.000,jueves,si,si,no,si,no,masculino,8.0,masculino,,padre,comuna2,3,True,True,True,High
2022-06-06T00:00:00.000,lunes,si,si,no,si,si,femenino,12.0,masculino,,hermano(a),comuna3,4,False,True,True,High
2022-06-13T00:00:00.000,lunes,si,no,no,si,no,masculino,15.0,no aplica,,no aplica,no aplica,2,False,True,True,Medium
2022-06-14T00:00:00.000,martes,si,no,no,si,si,femenino,5.0,masculino,,tio(a),comuna10,3,False,True,True,High
2022-07-11T00:00:00.000,lunes,si,si,no,si,no,masculino,3.0,femenino,25.0,madre,comuna2,3,True,True,True,High
2022-07-11T00:00:00.000,lunes,si,si,no,si,no,femenino,1.0,femenino,25.0,madre,comuna2,3,True,True,True,High
2022-07-14T00:00:00.000,jueves,si,si,no,si,no,femenino,9.0,femenino,29.0,madre,comuna1,3,True,True,True,High
2022-07-11T00:00:00.000,lunes,si,si,no,si,no,femenino,8.0,femenino,38.0,tio(a),comuna2,3,False,True,True,High
2022-07-15T00:00:00.000,viernes,si,si,no,si,no,femenino,10.0,masculino,46.0,padre,comuna1,3,True,True,True,High
2022-07-18T00:00:00.000,lunes,si,si,no,si,no,masculino,7.0,femenino,39.0,madre,comuna5,3,True,True,True,High
2022-07-19T00:00:00.000,martes,si,si,no,si,no,femenino,5.0,masculino,39.0,padre,comuna1,3,True,True,True,High
2022-07-28T00:00:00.000,jueves,si,si,no,si,no,masculino,1.0,femenino,20.0,madre,comuna3,3,True,True,True,High
2022-07-06T00:00:00.000,jueves,no,si,no,si,no,masculino,,no aplica,,no aplica,comuna 8,2,False,True,True,Medium
2022-07-06T00:00:00.000,jueves,no,si,no,si,no,femenino,,no aplica,,no aplica,comuna 8,2,False,True,True,Medium
2022-07-07T00:00:00.000,jueves,si,si,no,si,no,masculino,9.0,masculino,,padre,comuna11,3,True,True,True,High
2022-07-11T00:00:00.000,lunes,no,no,no,si,no,femenino,15.0,femenino,,madre,no aplica,1,True,False,True,Low
2022-07-13T00:00:00.000,miercoles,no,no,no,si,no,femenino,11.0,femenino,,madre,comuna6,1,True,False,True,Low
2022-07-13T00:00:00.000,jueves,no,no,no,no,no,femenino,13.0,no aplica,,no aplica,comuna 13,0,False,False,False,Low
2022-07-13T00:00:00.000,jueves,no,no,no,no,no,masculino,13.0,femenino,,no aplica,comuna 9,0,False,False,False,Low
2022-07-13T00:00:00.000,jueves,si,si,no,si,no,masculino,8.0,femenino,,madre,no aplica,3,True,True,True,High
2022-07-29T00:00:00.000,viernes,no,no,no,no,no,femenino,13.0,no aplica,,no aplica,no aplica,0,False,False,False,Low
2022-07-29T00:00:00.000,viernes,si,si,no,si,no,femenino,14.0,femenino,,madre,comuna7,3,True,True,True,High
2022-07-29T00:00:00.000,viernes,no,no,no,si,no,masculino,14.0,masculino,,padre,comuna7,1,True,False,True,Low
2022-07-29T00:00:00.000,viernes,no,no,no,si,no,masculino,10.0,femenino,,madre,comuna5,1,True,False,True,Low
2022-07-29T00:00:00.000,viernes,si,no,no,si,si,femenino,10.0,masculino,,padre,comuna1,3,True,True,True,High
2022-07-29T00:00:00.000,viernes,si,si,no,si,no,masculino,12.0,femenino,,madre,no aplica,3,True,True,True,High
2022-07-02T00:00:00.000,sabado,si,si,no,si,no,femenino,9.0,masculino,14.0,padre,comuna7,3,True,True,True,High
2022-07-02T00:00:00.000,sabado,si,si,no,si,no,femenino,14.0,masculino,14.0,padre,comuna7,3,True,True,True,High
2022-07-06T00:00:00.000,miercoles,si,si,no,si,no,masculino,4.0,femenino,,madre,comuna7,3,True,True,True,High
2022-07-11T00:00:00.000,lunes,si,si,no,si,no,masculino,9.0,femenino,9.0,madre,no aplica,3,True,True,True,High
2022-07-11T00:00:00.000,lunes,si,si,no,si,no,femenino,8.0,femenino,17.0,tio(a),comuna2,3,False,True,True,High
2022-07-18T00:00:00.000,lunes,si,si,no,si,no,femenino,14.0,masculino,14.0,padre,comuna3,3,True,True,True,High
2022-07-24T00:00:00.000,sabado,si,si,no,si,no,femenino,8.0,masculino,8.0,padre,comuna5,3,True,True,True,High
2022-07-26T00:00:00.000,martes,si,si,no,si,si,femenino,13.0,masculino,14.0,padrastro,comuna7,4,False,True,True,High
2022-07-29T00:00:00.000,viernes,no,si,no,si,si,femenino,2.0,masculino,2.0,padre,comuna1,3,True,True,True,High
2022-07-21T00:00:00.000,jueves,si,si,no,si,no,femenino,15.0,masculino,15.0,padre,comuna7,3,True,True,True,High
2022-08-04T00:00:00.000,jueves,si,si,no,si,no,femenino,10.0,masculino,28.0,padre,comuna1,3,True,True,True,High
2022-08-10T00:00:00.000,miercoles,si,si,no,si,no,femenino,15.0,femenino,34.0,madre,comuna1,3,True,True,True,High
